Timestamp,Quantity,Location,Measurement Value (db or lux),Email Address,Your 4 digit ID
1/16/2020 14:44:40,"Sound pressure level, SPL (dBA)",In class (on writing desk),49.1,,6286
1/16/2020 14:44:44,"Sound pressure level, SPL (dBA)",breakfast table,55.4,,8786
1/16/2020 14:44:57,"Sound pressure level, SPL (dBA)",In class (on writing desk),48.4,,6286
1/16/2020 14:45:21,"Sound pressure level, SPL (dBA)",Outdoors by GIX: Sunny,69.6,,6286
1/16/2020 14:45:33,"Sound pressure level, SPL (dBA)",breakfast table,61.4,,5402
1/16/2020 14:46:46,"Sound pressure level, SPL (dBA)",GIX Woodshop: No machines (SPL only),46.8,,6286
1/16/2020 14:47:09,"Sound pressure level, SPL (dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",99.8,,6286
1/16/2020 14:47:34,"Sound pressure level, SPL (dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",82.9,,6286
1/16/2020 14:48:03,"Sound pressure level, SPL (dBA)",GIX Woodshop: Drill (SPL Only from omerating position),71.9,,6286
1/16/2020 14:55:40,"Sound pressure level, SPL (dBA)",your bed at night,42.5,,6286
1/16/2020 16:10:22,"Sound pressure level, SPL (dBA)",In class (on writing desk),52,,0520
1/16/2020 16:10:38,"Sound pressure level, SPL (dBA)",In class (on writing desk),52.2,,6046
1/16/2020 16:12:41,"Sound pressure level, SPL (dBA)",Outdoors by GIX: Sunny,49.7,,6046
1/16/2020 16:13:19,"Sound pressure level, SPL (dBA)",Outdoors by GIX: Sunny,53,,0520
1/16/2020 16:19:23,"Sound pressure level, SPL (dBA)",GIX Woodshop: No machines (SPL only),51.2,,6046
1/16/2020 16:19:31,"Sound pressure level, SPL (dBA)",GIX Woodshop: No machines (SPL only),41,,0520
1/16/2020 16:20:58,"Sound pressure level, SPL (dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",92.8,,0520
1/16/2020 16:21:10,"Sound pressure level, SPL (dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",90.6,,6046
1/16/2020 16:23:51,"Sound pressure level, SPL (dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",78.7,,6046
1/16/2020 16:24:14,"Sound pressure level, SPL (dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",89,,0520
1/16/2020 16:25:12,"Sound pressure level, SPL (dBA)",GIX Woodshop: Drill (SPL Only from omerating position),77,,0520
1/16/2020 16:25:44,"Sound pressure level, SPL (dBA)",GIX Woodshop: Drill (SPL Only from omerating position),71.4,,6046
1/16/2020 16:27:18,Light Flux,breakfast table,160,,6310
1/16/2020 16:27:40,Light Flux,breakfast table,157,,6310
1/16/2020 16:28:18,Light Flux,breakfast table,224,,6310
1/16/2020 16:28:52,Light Flux,In class (on writing desk),106,,6310
1/16/2020 16:29:07,Light Flux,In class (on writing desk),167,,6310
1/16/2020 16:29:44,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",184,,6310
1/16/2020 16:31:51,"Sound pressure level, SPL (dBA)",breakfast table,47.9,,6046
1/16/2020 16:32:11,"Sound pressure level, SPL (dBA)",breakfast table,49,,0520
1/16/2020 16:37:48,"Sound pressure level, SPL (dBA)",In the car,50.6,,6046
1/16/2020 16:38:22,"Sound pressure level, SPL (dBA)",In the car,30,,0520
1/16/2020 16:42:27,"Sound pressure level, SPL (dBA)",your bed at night,35,,0520
1/16/2020 16:43:09,"Sound pressure level, SPL (dBA)",your bed at night,36.8,,6046
1/16/2020 16:43:38,"Sound pressure level, SPL (dBA)",breakfast table,40.3,,6046
1/16/2020 16:43:50,"Sound pressure level, SPL (dBA)",breakfast table,38,,0520
1/16/2020 16:53:53,"Sound pressure level, SPL (dBA)",Starbucks at a table,69.1,,6046
1/16/2020 16:54:27,"Sound pressure level, SPL (dBA)",Starbucks at a table,68,,0520
1/16/2020 16:55:07,"Sound pressure level, SPL (dBA)",GIX Woodshop: No machines (SPL only),46.8,,5103
1/16/2020 16:55:28,"Sound pressure level, SPL (dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",100.8,,5103
1/16/2020 16:56:07,"Sound pressure level, SPL (dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",87.3,,5103
1/16/2020 16:56:23,"Sound pressure level, SPL (dBA)",GIX Woodshop: Drill (SPL Only from omerating position),79.3,,5103
1/16/2020 17:48:24,Light Flux,breakfast table,111,,4191
1/16/2020 17:48:40,Light Flux,In the car,1,,4191
1/17/2020 0:27:52,Light Flux,your bed at night,10,,6310
1/17/2020 0:41:11,Light Flux,your bed at night,15,,6310
1/17/2020 0:41:57,Light Flux,Starbucks at a table,70,,6310
1/17/2020 0:46:15,Light Flux,In class (on writing desk),107,,6310
1/17/2020 0:46:30,Light Flux,Outdoors by GIX: Sunny,187,,6310
1/17/2020 1:03:01,Light Flux,Outdoors by GIX: Cloudy,50,,6310
1/17/2020 1:03:14,Light Flux,In the car,30,,6310
1/20/2020 10:10:48,"Sound pressure level, SPL (dBA)",your bed at night,40.7,,1735
1/20/2020 12:27:12,Light Flux,breakfast table,231,,1037
1/20/2020 12:27:56,Light Flux,Starbucks at a table,153,,1037
1/20/2020 12:28:17,Light Flux,In class (on writing desk),286,,1037
1/20/2020 12:28:37,Light Flux,Outdoors by GIX: Cloudy,3075,,1037
1/20/2020 12:29:04,Light Flux,In the car,737,,1037
1/20/2020 12:29:27,Light Flux,On a bus (while bus is stopped),562,,1037
1/20/2020 12:30:09,Light Flux,On a bus (Highway speed),593,,1037
1/20/2020 12:30:34,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",373,,1037
1/20/2020 13:52:59,Light Flux,In class (on writing desk),277,,5402
1/20/2020 13:53:26,Light Flux,In class (on writing desk),322,,5402
1/20/2020 13:53:50,Light Flux,In class (on writing desk),276,,5402
1/20/2020 13:56:02,Light Flux,Outdoors by GIX: Cloudy,2802,,5402
1/20/2020 13:56:29,Light Flux,Outdoors by GIX: Cloudy,3060,,5402
1/20/2020 13:56:47,Light Flux,Outdoors by GIX: Cloudy,3265,,5402
1/20/2020 14:01:49,Light Flux,breakfast table,3,,8268
1/20/2020 14:02:19,Light Flux,breakfast table,88,,5402
1/20/2020 14:02:35,Light Flux,breakfast table,177,,5402
1/20/2020 14:02:54,Light Flux,breakfast table,214,,5402
1/20/2020 14:05:44,"Sound pressure level, SPL (dBA)",breakfast table,44,,8268
1/20/2020 14:06:53,Light Flux,Outdoors by GIX: Cloudy,3231,,8786
1/20/2020 14:07:07,Light Flux,Outdoors by GIX: Cloudy,3156,,8786
1/20/2020 14:07:24,Light Flux,Outdoors by GIX: Cloudy,3329,,8786
1/20/2020 14:08:39,Light Flux,In class (on writing desk),353,,8786
1/20/2020 14:08:57,Light Flux,In class (on writing desk),362,,8786
1/20/2020 14:09:12,Light Flux,In class (on writing desk),279,,8786
1/20/2020 15:18:32,"Sound pressure level, SPL (dBA)",In the car,50,,0987
1/20/2020 15:40:36,"Sound pressure level, SPL (dBA)",Outdoors by GIX: Cloudy,53.4,,0987
1/20/2020 15:43:23,"Sound pressure level, SPL (dBA)",In class (on writing desk),49,,0987
1/20/2020 15:54:10,"Sound pressure level, SPL (dBA)",GIX Woodshop: No machines (SPL only),48.1,,0987
1/20/2020 15:55:27,"Sound pressure level, SPL (dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",94.2,,0987
1/20/2020 15:57:32,"Sound pressure level, SPL (dBA)",GIX Woodshop: Drill (SPL Only from omerating position),87.3,,0987
1/20/2020 16:00:14,"Sound pressure level, SPL (dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",87.7,,0987
1/20/2020 21:59:30,Light Flux,your bed at night,5,,5402
1/20/2020 21:59:43,Light Flux,your bed at night,4,,5402
1/20/2020 21:59:57,Light Flux,your bed at night,2,,5402
1/20/2020 23:59:39,Light Flux,your bed at night,56,,8786
1/21/2020 0:00:07,Light Flux,your bed at night,20,,8786
1/21/2020 0:00:34,Light Flux,your bed at night,22,,8786
1/21/2020 0:44:03,Light Flux,your bed at night,31.7,,0289
1/21/2020 1:43:08,"Sound pressure level, SPL (dBA)",your bed at night,30,,8268
1/21/2020 3:24:42,"Sound pressure level, SPL (dBA)",your bed at night,30,,0987
1/21/2020 4:45:31,Light Flux,Outdoors by GIX: Cloudy,100,,6310
1/21/2020 4:45:40,Light Flux,In the car,10,,6310
1/21/2020 4:46:00,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",150,,6310
1/21/2020 9:34:17,Light Flux,In class (on writing desk),470,,4191
1/21/2020 9:34:41,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",344,,4191
1/21/2020 9:34:53,Light Flux,Starbucks at a table,111,,4191
1/21/2020 9:36:23,Light Flux,Outdoors by GIX: Sunny,570,,4191
1/21/2020 9:40:04,Light Flux,In the car,1317,,8786
1/21/2020 9:40:27,Light Flux,In the car,2870,,8786
1/21/2020 9:58:48,Light Flux,In class (on writing desk),103,,0289
1/21/2020 9:59:18,Light Flux,Starbucks at a table,132.2,,0289
1/21/2020 9:59:44,Light Flux,In the car,56.6,,0289
1/21/2020 10:09:36,"Sound pressure level, SPL (dBA)",Starbucks at a table,70,,8268
1/21/2020 10:10:26,Light Flux,Starbucks at a table,430,,8268
1/21/2020 10:12:45,"Sound pressure level, SPL (dBA)",In class (on writing desk),59,,8268
1/21/2020 10:13:44,Light Flux,In class (on writing desk),325,,8268
1/21/2020 10:15:50,"Sound pressure level, SPL (dBA)",Outdoors by GIX: Cloudy,47,,8268
1/21/2020 10:16:59,Light Flux,Outdoors by GIX: Cloudy,5611,,8268
1/21/2020 10:18:44,"Sound pressure level, SPL (dBA)",In the car,70.8,,8268
1/21/2020 10:20:19,Light Flux,On a bus (while bus is stopped),38,,8268
1/21/2020 10:21:45,Light Flux,On a bus (Highway speed),6,,8268
1/21/2020 10:39:43,"Sound pressure level, SPL (dBA)",breakfast table,30,,0987
1/21/2020 12:39:49,"Sound pressure level, SPL (dBA)",GIX Woodshop: No machines (SPL only),45,,8268
1/21/2020 12:40:50,"Sound pressure level, SPL (dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",94,,8268
1/21/2020 12:41:35,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",347,,8268
1/21/2020 12:42:43,"Sound pressure level, SPL (dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",87,,8268
1/21/2020 12:43:31,"Sound pressure level, SPL (dBA)",GIX Woodshop: Drill (SPL Only from omerating position),75,,8268
1/21/2020 12:43:57,Light Flux,In the car,7075,,8786
