Timestamp,Your Phone,Your 4 digit ID,Quantity,Location,Measurement Value (db or lux)
1/16/2020 16:43:56,iPhone (all models),0520,"Sound pressure level, SPL(dBA)",breakfast table,30
1/16/2020 16:44:03,Android (all models),6046,"Sound pressure level, SPL(dBA)",breakfast table,26.1
1/16/2020 16:52:56,iPhone (all models),5103,"Sound pressure level, SPL(dBA)",GIX Woodshop: No machines (SPL only),46.1
1/16/2020 16:54:04,Android (all models),6046,"Sound pressure level, SPL(dBA)",Starbucks at a table,56.1
1/16/2020 16:54:05,iPhone (all models),5103,"Sound pressure level, SPL(dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",92.1
1/16/2020 16:54:25,iPhone (all models),0520,"Sound pressure level, SPL(dBA)",Starbucks at a table,75
1/16/2020 16:54:31,iPhone (all models),5103,"Sound pressure level, SPL(dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",83.4
1/16/2020 16:54:49,iPhone (all models),5103,"Sound pressure level, SPL(dBA)",GIX Woodshop: Drill (SPL Only from omerating position),72.6
1/20/2020 10:11:17,iPhone (all models),1735,"Sound pressure level, SPL(dBA)",your bed at night,30.3
1/20/2020 12:31:14,iPhone (all models),1037,Light Flux,breakfast table,230
1/20/2020 12:31:34,iPhone (all models),1037,Light Flux,Starbucks at a table,87
1/20/2020 12:32:02,iPhone (all models),1037,Light Flux,In class (on writing desk),228
1/20/2020 12:32:21,iPhone (all models),1037,Light Flux,Outdoors by GIX: Cloudy,2898
1/20/2020 12:32:38,iPhone (all models),1037,Light Flux,In the car,670
1/20/2020 12:32:53,iPhone (all models),1037,Light Flux,On a bus (while bus is stopped),413
1/20/2020 12:33:16,iPhone (all models),1037,Light Flux,On a bus (Highway speed),418
1/20/2020 12:35:01,iPhone (all models),1037,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",279
1/20/2020 14:02:16,Android (all models),8268,Light Flux,breakfast table,3
1/20/2020 14:06:29,Android (all models),8268,"Sound pressure level, SPL(dBA)",breakfast table,28
1/20/2020 15:31:50,iPhone (all models),0987,"Sound pressure level, SPL(dBA)",In the car,45
1/20/2020 15:41:01,iPhone (all models),0987,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,49.3
1/20/2020 15:43:04,iPhone (all models),0987,"Sound pressure level, SPL(dBA)",In class (on writing desk),46
