Timestamp,Your Phone,Your 4 digit ID,Quantity,Location,Measurement Value (db or lux)
1/29/2020 15:39:35,Android (all models),4705,Light Flux,In class (on writing desk),308
1/29/2020 15:39:50,Android (all models),4705,Light Flux,In class (on writing desk),426
1/29/2020 19:56:34,iPhone (all models),4264,"Sound pressure level, SPL(dBA)",your bed at night,35.1
1/29/2020 20:50:50,Android (all models),4705,Light Flux,In the car,0
1/29/2020 20:51:03,Android (all models),4705,Light Flux,In the car,0
1/29/2020 20:51:23,Android (all models),4705,Light Flux,In the car,2
1/29/2020 22:42:16,iPhone (all models),4264,"Sound pressure level, SPL(dBA)",Starbucks at a table,70.3
1/30/2020 9:43:37,Android (all models),3171,"Sound pressure level, SPL(dBA)",In the car,71
1/30/2020 11:37:16,Android (all models),8500,"Sound pressure level, SPL(dBA)",your bed at night,43.2
1/30/2020 11:37:27,Android (all models),8500,"Sound pressure level, SPL(dBA)",breakfast table,50.6
1/30/2020 11:37:38,Android (all models),8500,"Sound pressure level, SPL(dBA)",Starbucks at a table,45
1/30/2020 11:37:51,Android (all models),8500,Light Flux,Starbucks at a table,45
1/30/2020 11:38:14,Android (all models),8500,"Sound pressure level, SPL(dBA)",In class (on writing desk),48.3
1/30/2020 11:38:34,Android (all models),8500,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,56.5
1/30/2020 11:38:58,Android (all models),8500,"Sound pressure level, SPL(dBA)",In the car,61.3
1/30/2020 11:39:16,Android (all models),8500,"Sound pressure level, SPL(dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",66.8
1/30/2020 11:39:33,Android (all models),8500,"Sound pressure level, SPL(dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",69.3
1/30/2020 11:39:52,Android (all models),8500,"Sound pressure level, SPL(dBA)",GIX Woodshop: Drill (SPL Only from omerating position),63.4
